City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,severodvinsk,0,RU,1524097800,80,64.56,39.82,30.2,4.47
1,nueva loja,92,EC,1524099488,100,0.08,-76.88,73.97,1.34
2,okhotsk,20,RU,1524099488,98,59.36,143.24,26.81,1.9
3,lavrentiya,8,RU,1524099488,100,65.58,-170.99,31.27,23.38
4,rikitea,80,PF,1524099488,99,-23.12,-134.97,80.5,14.43
5,hermanus,24,ZA,1524099488,100,-34.42,19.24,48.28,2.91
6,east london,8,ZA,1524099489,100,-33.02,27.91,70.19,29.3
7,puerto ayora,40,EC,1524096000,78,-0.74,-90.35,78.8,12.75
8,galle,1,US,1524095760,27,29.74,-97.91,80.6,11.41
9,ushuaia,20,AR,1524096000,75,-54.81,-68.31,42.8,10.29
10,lumeje,0,AO,1524099489,84,-11.56,20.78,63.67,2.8
11,college,1,US,1524095880,28,64.86,-147.8,42.8,10.29
12,san cristobal,40,EC,1524096000,71,-0.39,-78.55,57.2,16.11
13,cidreira,12,BR,1524099490,88,-30.17,-50.22,67.54,6.15
14,san quintin,75,PH,1524096000,66,17.54,120.52,84.2,2.24
15,turinsk,64,RU,1524099490,71,58.04,63.7,28.21,5.93
16,casper,1,US,1524095580,31,42.87,-106.31,48.2,9.17
17,marsh harbour,0,BS,1524099491,100,26.54,-77.06,73.57,9.06
18,bredasdorp,20,ZA,1524096000,87,-34.53,20.04,55.4,8.05
19,hobart,75,AU,1524096000,66,-42.88,147.33,53.6,9.17
20,geraldton,5,CA,1524096000,38,49.72,-86.95,39.2,11.41
21,mataura,88,NZ,1524099492,73,-46.19,168.86,56.24,21.47
22,codrington,20,AU,1524099492,86,-28.95,153.24,70.82,3.47
23,isangel,80,VU,1524099492,100,-19.55,169.27,78.25,18.34
24,namatanai,8,PG,1524099492,100,-3.66,152.44,82.97,6.93
25,kahului,40,US,1524095760,61,20.89,-156.47,82.4,18.34
26,avarua,40,CK,1524096000,65,-21.21,-159.78,80.6,14.99
27,nabire,24,ID,1524099419,85,-3.36,135.5,76.45,1.23
28,saint george,0,GR,1524095400,81,39.45,22.34,53.6,6.93
29,mahebourg,75,MU,1524096000,88,-20.41,57.7,78.8,9.17
30,umm kaddadah,0,SD,1524099494,14,13.6,26.69,66.59,9.17
31,busselton,92,AU,1524099494,100,-33.64,115.35,60.47,3.47
32,qaqortoq,76,GL,1524095400,80,60.72,-46.03,35.6,3.36
33,kumluca,32,TR,1524099494,61,36.37,30.29,42.16,2.13
34,vostok,0,RU,1524099494,78,46.45,135.83,55.3,2.8
35,moyale,76,ET,1524099495,95,3.52,39.05,65.65,1.34
36,georgetown,20,GY,1524096000,88,6.8,-58.16,77.0,4.7
37,xuddur,92,SO,1524099495,96,4.12,43.89,69.52,3.8
38,port alfred,0,ZA,1524099495,90,-33.59,26.89,65.02,18.68
39,havoysund,92,NO,1524099223,100,71.0,24.66,31.22,5.93
40,baglung,0,NP,1524099495,52,28.27,83.59,52.78,3.02
41,farsund,92,NO,1524099495,96,58.09,6.8,44.32,3.36
42,mungaoli,0,IN,1524099496,49,24.41,78.09,66.77,2.68
43,praia,0,BR,1524096000,77,-20.25,-43.81,64.4,2.24
44,new norfolk,75,AU,1524096000,66,-42.78,147.06,53.6,9.17
45,yellowknife,90,CA,1524096000,73,62.45,-114.38,24.8,16.11
46,wencheng,0,CN,1524099497,62,27.79,120.09,58.27,2.13
47,bubaque,0,GW,1524099497,100,11.28,-15.83,78.43,15.21
48,tasiilaq,92,GL,1524095400,80,65.61,-37.64,35.6,16.11
49,sorong,8,ID,1524099497,100,-0.86,131.25,82.66,2.46
50,norman wells,75,CA,1524096000,52,65.28,-126.83,17.6,19.46
51,bethel,1,US,1524095580,49,60.79,-161.76,48.2,16.11
52,constitucion,5,MX,1524095460,8,23.99,-104.67,82.4,3.36
53,faanui,80,PF,1524099498,100,-16.48,-151.75,79.82,10.29
54,huarmey,0,PE,1524099498,71,-10.07,-78.15,65.11,3.13
55,kapaa,75,US,1524095760,74,22.08,-159.32,80.6,14.99
56,katsuura,20,JP,1524096000,55,33.93,134.5,62.6,3.36
57,laguna,40,MX,1524094980,18,27.52,-110.01,87.8,11.41
58,avera,1,US,1524098100,38,33.19,-82.53,82.4,5.82
59,port elizabeth,90,US,1524099300,70,39.31,-74.98,53.6,3.36
60,hilo,90,US,1524095760,69,19.71,-155.08,77.0,8.05
61,ponta do sol,0,BR,1524099499,68,-20.63,-46.0,61.96,4.36
62,cabo san lucas,5,MX,1524095100,69,22.89,-109.91,80.6,4.7
63,mutsu,20,JP,1524096000,62,41.29,141.2,57.2,17.22
64,jamestown,0,AU,1524099394,42,-33.21,138.6,73.07,8.72
65,saryozek,80,KZ,1524099500,92,44.36,77.98,35.27,2.91
66,qaanaaq,0,GL,1524099500,78,77.48,-69.36,-4.29,2.68
67,hithadhoo,92,MV,1524099501,100,-0.6,73.08,79.37,14.65
68,kijang,0,KR,1524096000,55,35.24,129.21,60.8,3.36
69,alofi,75,NU,1524096000,65,-19.06,-169.92,82.4,18.34
70,abu dhabi,0,AE,1524096000,64,24.47,54.37,73.4,5.82
71,fresnillo,5,MX,1524094860,10,23.17,-102.87,80.6,9.17
72,barrow,0,AR,1524099502,88,-38.31,-60.23,58.45,7.94
73,butaritari,48,KI,1524099502,100,3.07,172.79,79.46,8.72
74,bangolo,32,CI,1524099502,81,7.01,-7.49,77.26,6.6
75,beringovskiy,92,RU,1524099502,99,63.05,179.32,32.26,14.09
76,punta arenas,40,CL,1524096000,86,-53.16,-70.91,41.0,13.87
77,bartica,20,GY,1524096000,88,6.41,-58.62,77.0,4.7
78,dombarovskiy,20,RU,1524099503,68,50.76,59.54,35.41,5.7
79,comodoro rivadavia,0,AR,1524096000,49,-45.87,-67.48,69.8,12.75
80,fairbanks,1,US,1524095880,28,64.84,-147.72,42.8,10.29
81,agadir,0,MA,1524097800,59,30.42,-9.58,62.6,1.57
82,vaini,44,IN,1524099504,91,15.34,74.49,71.68,2.57
83,teguise,0,ES,1524096000,68,29.06,-13.56,66.2,11.63
84,hargeysa,88,SO,1524099504,97,9.56,44.06,63.17,3.36
85,albany,90,US,1524095640,56,42.65,-73.75,42.8,5.82
86,cape town,20,ZA,1524096000,93,-33.93,18.42,53.6,9.17
87,hay river,40,CA,1524096000,68,60.82,-115.79,28.4,13.87
88,tevaitoa,24,PF,1524099505,100,-16.78,-151.5,79.64,9.17
89,spasskoye,92,RU,1524099505,98,55.86,45.7,48.55,3.13
90,sungaipenuh,24,ID,1524099505,95,-2.08,101.38,66.73,1.34
91,roebourne,0,AU,1524099506,39,-20.77,117.15,75.59,2.91
92,saurimo,8,AO,1524099506,93,-9.66,20.4,64.16,2.57
93,pangai,75,TO,1524096000,78,-19.8,-174.35,82.4,17.22
94,nanortalik,8,GL,1524099506,100,60.14,-45.24,31.94,4.7
95,coihaique,75,CL,1524096000,76,-45.58,-72.07,57.2,9.17
96,whitehaven,0,US,1524098100,60,35.03,-90.03,78.8,6.93
97,mar del plata,12,AR,1524099507,51,-46.43,-67.52,65.83,21.7
98,sarkand,24,KZ,1524099507,81,45.41,79.91,31.54,3.13
99,alto paraguai,68,BR,1524099507,91,-14.51,-56.48,73.93,2.91
100,porbandar,0,IN,1524099510,85,21.64,69.61,78.07,11.3
101,kununurra,68,AU,1524097800,52,-15.77,128.74,87.8,5.82
102,padang,44,ID,1524099441,100,-0.92,100.36,80.72,2.68
103,sola,20,NO,1524097200,100,58.89,5.65,48.2,3.36
104,bambous virieux,75,MU,1524096000,88,-20.34,57.76,78.8,9.17
105,kodiak,90,US,1524095580,56,39.95,-94.76,42.8,18.34
106,leninsk,90,RU,1524097800,100,48.69,45.2,50.0,8.95
107,mantua,0,IT,1524095700,87,45.16,10.79,59.0,2.24
108,thompson,75,CA,1524096000,27,55.74,-97.86,50.0,13.87
109,tuktoyaktuk,40,CA,1524096000,76,69.44,-133.03,-4.01,8.05
110,bluff,0,AU,1524099514,63,-23.58,149.07,77.39,9.73
111,buala,88,SB,1524099514,100,-8.15,159.59,79.91,3.91
112,severo-kurilsk,76,RU,1524099514,93,50.68,156.12,35.72,5.93
113,ivanovka,80,KG,1524099515,93,42.89,75.08,23.66,0.89
114,pisco,0,PE,1524096000,82,-13.71,-76.2,68.0,18.34
115,narsaq,44,GL,1524099000,86,60.91,-46.05,33.8,5.82
116,nago,0,IT,1524095400,72,45.88,10.89,59.0,4.7
117,atuona,76,PF,1524099515,100,-9.8,-139.03,81.26,15.32
118,carnarvon,0,ZA,1524099516,88,-30.97,22.13,46.07,9.28
119,red wing,1,US,1524098100,55,44.56,-92.53,39.2,3.36
120,naze,76,NG,1524099516,93,5.43,7.07,76.31,5.7
121,road town,1,VG,1524095580,83,18.42,-64.62,80.6,10.29
122,kidal,0,ML,1524099516,24,18.44,1.41,63.04,3.58
123,wajid,92,SO,1524099517,87,3.81,43.25,73.34,7.16
124,mogadishu,92,SO,1524099517,100,2.04,45.34,77.89,3.58
125,kavieng,88,PG,1524099517,100,-2.57,150.8,83.69,3.13
126,gerash,0,IR,1524095400,33,27.67,54.14,59.0,2.68
127,castro,100,CL,1524099518,96,-42.48,-73.76,56.11,8.39
128,winnemucca,90,US,1524095760,24,40.97,-117.74,55.4,4.7
129,matara,92,PE,1524099518,83,-13.74,-72.9,48.46,1.9
130,bauchi,64,NG,1524099518,91,10.31,9.85,71.05,2.35
131,rawson,0,AR,1524099518,32,-43.3,-65.11,60.92,10.51
132,khatanga,76,RU,1524099519,87,71.98,102.47,10.3,6.49
133,upernavik,20,GL,1524099519,100,72.79,-56.15,7.69,22.7
134,clyde river,1,CA,1524096000,83,70.47,-68.59,-7.61,2.24
135,saskylakh,12,RU,1524099519,84,71.97,114.09,2.87,4.59
136,lakes entrance,44,AU,1524099519,79,-37.88,147.99,65.24,4.59
137,ayr,76,GB,1524097200,67,55.46,-4.63,59.0,10.29
138,axim,36,GH,1524099520,97,4.87,-2.24,82.93,13.65
139,dingzhou,0,CN,1524096000,93,38.51,115.0,64.4,2.24
140,sibu,75,MY,1524096000,94,2.29,111.83,78.8,3.36
141,half moon bay,40,US,1524095760,41,37.46,-122.43,62.6,6.93
142,banjar,0,ID,1524099521,94,-7.37,108.54,74.51,2.91
143,ihosy,36,MG,1524099521,92,-22.4,46.13,56.06,2.46
144,san policarpo,80,PH,1524099521,98,12.18,125.51,81.58,6.82
145,boguchany,0,RU,1524099521,53,58.38,97.46,19.39,4.7
146,ostrovnoy,80,RU,1524099522,93,68.05,39.51,27.04,10.96
147,talnakh,56,RU,1524099522,83,69.49,88.39,5.21,19.69
148,longyearbyen,20,NO,1524095400,78,78.22,15.63,8.6,5.82
149,lalmohan,0,BD,1524099522,85,22.34,90.74,82.07,9.4
150,kyaikto,12,MM,1524099522,84,17.31,97.01,78.11,0.89
151,leningradskiy,12,RU,1524099523,100,69.38,178.42,16.78,12.75
152,jumla,0,NP,1524099523,81,29.28,82.18,29.87,2.46
153,marzuq,12,YE,1524099523,90,14.4,46.47,59.66,2.24
154,terney,0,RU,1524099523,85,45.05,136.61,46.66,1.57
155,sinnamary,76,GF,1524099523,97,5.38,-52.96,79.82,9.06
156,bondoukou,88,CI,1524099524,98,8.04,-2.8,72.58,6.71
157,dikson,68,RU,1524099266,90,73.51,80.55,3.86,24.49
158,toyooka,0,JP,1524096000,59,35.55,134.82,60.8,4.7
159,luderitz,0,NA,1524099524,94,-26.65,15.16,57.1,11.52
160,tabalosos,20,PE,1524096000,78,-6.39,-76.63,78.8,1.23
161,provideniya,40,RU,1524097800,64,64.42,-173.23,35.6,15.66
162,sibolga,92,ID,1524099525,100,1.74,98.78,68.53,1.57
